Brand;Model;Url
3Q;3Q Q-pad RC1018C;/catalog/3q_q_pad_rc1018c/
3Q;3Q Q-pad RC1301C;/catalog/3q_q_pad_rc1301c/
3Q;3Q q-pad RC9711B;/catalog/3q_q_pad_rc9711b/
3Q;3Q Q-pad RC9712C;/catalog/3q_q_pad_rc9712c/
3Q;3Q q-pad RC9713B;/catalog/3q_q_pad_rc9713b/
3Q;3Q Q-pad RC9717B;/catalog/3q_q_pad_rc9717b/
3Q;3Q Q-pad RC9724C;/catalog/3q_q_pad_rc9724c/
3Q;3Q Q-pad RC9726C;/catalog/3q_q_pad_rc9726c/
3Q;3Q Q-pad RC9727C;/catalog/3q_q_pad_rc9727c/
3Q;3Q Q-pad RC9727F;/catalog/3q_q_pad_rc9727f/
3Q;3Q Q-pad RC9730C;/catalog/3q_q_pad_rc9730c/
3Q;3Q Q-pad RC9731C;/catalog/3q_q_pad_rc9731c/
3Q;3Q Q-pad TC0703B;/catalog/3q_q_pad_tc0703b/
3Q;3Q Q-pad VM1017A;/catalog/3q_q_pad_vm1017a/
3Q;3Q Surf AN1008A;/catalog/3q_surf_an1008a/
3Q;3Q Surf AZ1006A;/catalog/3q_surf_az1006a/
3Q;3Q Surf AZ1007A;/catalog/3q_surf_az1007a/
3Q;3Q Surf AZ9701A;/catalog/3q_surf_az9701a/
3Q;3Q Surf FS9706B;/catalog/3q_surf_fs9706b/
3Q;3Q Surf FS9709B;/catalog/3q_surf_fs9709b/
3Q;3Q Surf LC0808B;/catalog/3q_surf_lc0808b/
3Q;3Q Surf LC9704A;/catalog/3q_surf_lc9704a/
3Q;3Q Surf MT7801C;/catalog/3q_surf_mt7801c/
3Q;3Q Surf MT7801CM;/catalog/3q_surf_mt7801cm/
3Q;3Q Surf OC1020A;/catalog/3q_surf_oc1020a/
3Q;3Q Surf QS0701B;/catalog/3q_surf_qs0701b/
3Q;3Q Surf QS0741E;/catalog/3q_surf_qs0741e/
3Q;3Q Surf QS1023H;/catalog/3q_surf_qs1023h/
3Q;3Q Surf QS9715F;/catalog/3q_surf_qs9715f/
3Q;3Q Surf QS9719D;/catalog/3q_surf_qs9719d/
3Q;3Q Surf RC0702B;/catalog/3q_surf_rc0702b/
3Q;3Q Surf RC0721B;/catalog/3q_surf_rc0721b/
3Q;3Q Surf RC0722C;/catalog/3q_surf_rc0722c/
3Q;3Q Surf RC1025F;/catalog/3q_surf_rc1025f/
3Q;3Q Surf RC9716B;/catalog/3q_surf_rc9716b/
3Q;3Q Surf Tablet PC TN1002T;/catalog/3q_surf_tablet_pc_tn1002t/
3Q;3Q Surf Tablet PC TS1001T;/catalog/3q_surf_tablet_pc_ts1001t/
3Q;3Q Surf Tablet PC TS1003T;/catalog/3q_surf_tablet_pc_ts1003t/
3Q;3Q Surf Tablet PC TS1004T;/catalog/3q_surf_tablet_pc_ts1004t/
3Q;3Q Surf Tablet PC TS1005B;/catalog/3q_surf_tablet_pc_ts1005b/
3Q;3Q Surf Tablet PC TS9703T;/catalog/3q_surf_tablet_pc_ts9703t/
3Q;3Q Surf Tablet PC TU1102T;/catalog/3q_surf_tablet_pc_tu1102t/
3Q;3Q Surf TS1009B;/catalog/3q_surf_ts1009b/
3Q;3Q Surf TS1010C;/catalog/3q_surf_ts1010c/
3Q;3Q Surf TS1011B;/catalog/3q_surf_ts1011b/
3Q;3Q Surf TS1013B;/catalog/3q_surf_ts1013b/
3Q;3Q Surf TS1014B;/catalog/3q_surf_ts1014b/
3Q;3Q Surf TS9705B;/catalog/3q_surf_ts9705b/
3Q;3Q Surf TS9708B;/catalog/3q_surf_ts9708b/
3Q;3Q Surf TS9714B;/catalog/3q_surf_ts9714b/
3Q;3Q Surf VC0711A;/catalog/3q_surf_vc0711a/
3Q;3Q Surf VM0711A;/catalog/3q_surf_vm0711a/
3Q;3Q Surf VM9707A;/catalog/3q_surf_vm9707a/
3Q;3Q Surf VM9707AG;/catalog/3q_surf_vm9707ag/
3Q;3Q Surf VM9707AG;/catalog/3q_surf_vm9707ag/
Ifive;Mini 3;/catalog/mini_3/
Tecno;CC6;/catalog/cc6/
Acer;Acer Iconia Tab A1-713;/catalog/acer_iconia_tab_a1_713/
Acer;Acer Iconia Tab A1-810;/catalog/acer_iconia_tab_a1_810/
Acer;Acer Iconia Tab A1-840;/catalog/acer_iconia_tab_a1_840/
Acer;Acer Iconia Tab A200;/catalog/acer_iconia_tab_a200/
Acer;Acer Iconia Tab A3-A10;/catalog/acer_iconia_tab_a3_a10/
Acer;Acer Iconia Tab A500/A501;/catalog/acer_iconia_tab_a500_a501/
Acer;Acer Iconia Tab B1-721;/catalog/acer_iconia_tab_b1_721/
Acer;Acer Iconia Tab B1-730HD;/catalog/acer_iconia_tab_b1_730hd/
Acer;Acer Iconia Tab B1-A71;/catalog/acer_iconia_tab_b1_a71/
Acer;Acer Iconia Tab W3-810;/catalog/acer_iconia_tab_w3_810/
Acer;Acer Iconia Tab W4-820;/catalog/acer_iconia_tab_w4_820/
Acer;Acer Iconia Tab W510;/catalog/acer_iconia_tab_w510/
Acer;Acer Iconia Talk S A1-724;/catalog/acer_iconia_talk_s_a1_724/
Acer;Acer Aspire Switch 10;/catalog/acer_aspire_switch_10/
Acer;Acer Aspire Switch 10 (SW5-015);/catalog/acer_aspire_switch_10_sw5_015/
Acer;Acer Aspire Switch 10 E (SW3-013);/catalog/acer_aspire_switch_10_e_sw3_013/
Acer;Acer Aspire Switch 10 E (SW3-016);/catalog/acer_aspire_switch_10_e_sw3_016/
Acer;Acer Aspire Switch 10 V (SW5-014);/catalog/acer_aspire_switch_10_v_sw5_014/
Acer;Acer Aspire Switch 11;/catalog/acer_aspire_switch_11/
Acer;Acer Aspire Switch 11 V (SW5-173);/catalog/acer_aspire_switch_11_v_sw5_173/
Acer;Acer Aspire Switch 12;/catalog/acer_aspire_switch_12/
Acer;Acer Aspire Switch 12 S (SW7-272);/catalog/acer_aspire_switch_12_s_sw7_272/
Acer;Acer Aspire Switch One 10 (SW1-011);/catalog/acer_aspire_switch_one_10_sw1_011/
Acer;Acer Aspire Switch V 10 (SW5-017);/catalog/acer_aspire_switch_v_10_sw5_017/
Acer;Acer Chromebook Tab 10;/catalog/acer_chromebook_tab_10/
Acer;Acer Enduro T1 10;/catalog/acer_enduro_t1_10/
Acer;Acer Enduro T1 8;/catalog/acer_enduro_t1_8/
Acer;Acer Iconia A1-713 Tab 7;/catalog/acer_iconia_a1_713_tab_7/
Acer;Acer Iconia A1-713HD Tab 7;/catalog/acer_iconia_a1_713hd_tab_7/
Acer;Acer Iconia A1-724 Talk S;/catalog/acer_iconia_a1_724_talk_s/
Acer;Acer Iconia A1-810;/catalog/acer_iconia_a1_810/
Acer;Acer Iconia A1-811;/catalog/acer_iconia_a1_811/
Acer;Acer Iconia A1-830;/catalog/acer_iconia_a1_830/
Acer;Acer Iconia A1-840 Tab 8;/catalog/acer_iconia_a1_840_tab_8/
Acer;Acer Iconia A1-840FHD Tab 8;/catalog/acer_iconia_a1_840fhd_tab_8/
Acer;Acer Iconia A1-841;/catalog/acer_iconia_a1_841/
Acer;Acer Iconia A3-A10;/catalog/acer_iconia_a3_a10/
Acer;Acer Iconia A3-A11;/catalog/acer_iconia_a3_a11/
Acer;Acer Iconia A3-A20 Tab 10;/catalog/acer_iconia_a3_a20_tab_10/
Acer;Acer Iconia A3-A20FHD Tab 10;/catalog/acer_iconia_a3_a20fhd_tab_10/
Acer;Acer Iconia B1-710 (A71);/catalog/acer_iconia_b1_710_a71/
Acer;Acer Iconia B1-711;/catalog/acer_iconia_b1_711/
Acer;Acer Iconia B1-720721;/catalog/acer_iconia_b1_720721/
Acer;Acer Iconia One 10 (B3-A10);/catalog/acer_iconia_one_10_b3_a10/
Acer;Acer Iconia One 10 (B3-A20);/catalog/acer_iconia_one_10_b3_a20/
Acer;Acer Iconia One 10 (B3-A30);/catalog/acer_iconia_one_10_b3_a30/
Acer;Acer Iconia One 10 (B3-A32);/catalog/acer_iconia_one_10_b3_a32/
Acer;Acer Iconia One 10 (B3-A40);/catalog/acer_iconia_one_10_b3_a40/
Acer;Acer Iconia One 10 (B3-A40FHD);/catalog/acer_iconia_one_10_b3_a40fhd/
Acer;Acer Iconia One 10 (B3-A42);/catalog/acer_iconia_one_10_b3_a42/
Acer;Acer Iconia One 10 (B3-A50);/catalog/acer_iconia_one_10_b3_a50/
Acer;Acer Iconia One 10 (B3-A50FHD);/catalog/acer_iconia_one_10_b3_a50fhd/
Acer;Acer Iconia One 7 (B1-730HD);/catalog/acer_iconia_one_7_b1_730hd/
Acer;Acer Iconia One 7 (B1-750);/catalog/acer_iconia_one_7_b1_750/
Acer;Acer Iconia One 7 (B1-760HD);/catalog/acer_iconia_one_7_b1_760hd/
Acer;Acer Iconia One 7 (B1-770);/catalog/acer_iconia_one_7_b1_770/
Acer;Acer Iconia One 7 (B1-780);/catalog/acer_iconia_one_7_b1_780/
Acer;Acer Iconia One 7 (B1-790);/catalog/acer_iconia_one_7_b1_790/
Acer;Acer Iconia One 8 (B1-810);/catalog/acer_iconia_one_8_b1_810/
Acer;Acer Iconia One 8 (B1-820);/catalog/acer_iconia_one_8_b1_820/
Acer;Acer Iconia One 8 (B1-830);/catalog/acer_iconia_one_8_b1_830/
Acer;Acer Iconia One 8 (B1-850);/catalog/acer_iconia_one_8_b1_850/
Acer;Acer Iconia One 8 (B1-860);/catalog/acer_iconia_one_8_b1_860/
Acer;Acer Iconia One 8 (B1-870);/catalog/acer_iconia_one_8_b1_870/
Acer;Acer Iconia Tab 10 (A3-A30);/catalog/acer_iconia_tab_10_a3_a30/
Acer;Acer Iconia Tab 10 (A3-A40);/catalog/acer_iconia_tab_10_a3_a40/
Acer;Acer Iconia Tab 10 (A3-A50);/catalog/acer_iconia_tab_10_a3_a50/
Acer;Acer Iconia Tab 8 (A1-850);/catalog/acer_iconia_tab_8_a1_850/
Acer;Acer Iconia Tab A100;/catalog/acer_iconia_tab_a100/
Acer;Acer Iconia Tab A101;/catalog/acer_iconia_tab_a101/
Acer;Acer Iconia Tab A110;/catalog/acer_iconia_tab_a110/
Acer;Acer Iconia Tab A210;/catalog/acer_iconia_tab_a210/
Acer;Acer Iconia Tab A211;/catalog/acer_iconia_tab_a211/
Acer;Acer Iconia Tab A500;/catalog/acer_iconia_tab_a500/
Acer;Acer Iconia Tab A501;/catalog/acer_iconia_tab_a501/
Acer;Acer Iconia Tab A510;/catalog/acer_iconia_tab_a510/
Acer;Acer Iconia Tab A511;/catalog/acer_iconia_tab_a511/
Acer;Acer Iconia Tab A700;/catalog/acer_iconia_tab_a700/
Acer;Acer Iconia Tab A701;/catalog/acer_iconia_tab_a701/
Acer;Acer Iconia Tab W500;/catalog/acer_iconia_tab_w500/
Acer;Acer Iconia Tab W501;/catalog/acer_iconia_tab_w501/
Acer;Acer Iconia Talk 7 (B1-723);/catalog/acer_iconia_talk_7_b1_723/
Acer;Acer Iconia Talk 7 (B1-733);/catalog/acer_iconia_talk_7_b1_733/
Acer;Acer Iconia Talk S (A1-734);/catalog/acer_iconia_talk_s_a1_734/
Acer;Acer Iconia W1-810 Tab 8W;/catalog/acer_iconia_w1_810_tab_8w/
Acer;Acer Iconia W3-810;/catalog/acer_iconia_w3_810/
Acer;Acer Iconia W4;/catalog/acer_iconia_w4/
Acer;Acer Iconia W510;/catalog/acer_iconia_w510/
Acer;Acer Iconia W511;/catalog/acer_iconia_w511/
Acer;Acer Iconia W700;/catalog/acer_iconia_w700/
Acer;Acer Iconia W701;/catalog/acer_iconia_w701/
Acer;Acer One 10 (S1002);/catalog/acer_one_10_s1002/
Acer;Acer One 10 (S1003);/catalog/acer_one_10_s1003/
Acer;Acer Predator 8;/catalog/acer_predator_8/
Acer;Acer Predator 8;/catalog/acer_predator_8/
Alcatel;"Alcatel POP 7"" ";/catalog/alcatel_pop_7_/
Alcatel;Alcatel 1T 10 8082;/catalog/alcatel_1t_10_8082/
Alcatel;Alcatel 1T 7;/catalog/alcatel_1t_7/
Alcatel;Alcatel 3T 10;/catalog/alcatel_3t_10/
Alcatel;Alcatel 3T 8;/catalog/alcatel_3t_8/
Alcatel;Alcatel A3 10 4G;/catalog/alcatel_a3_10_4g/
Alcatel;Alcatel A3 7 Kids;/catalog/alcatel_a3_7_kids/
Alcatel;Alcatel A30 Tablet;/catalog/alcatel_a30_tablet/
Alcatel;Alcatel Joy Tab;/catalog/alcatel_joy_tab/
Alcatel;Alcatel Joy Tab Kids;/catalog/alcatel_joy_tab_kids/
Alcatel;Alcatel One Touch Evo 7;/catalog/alcatel_one_touch_evo_7/
Alcatel;Alcatel One Touch Evo 7 HD;/catalog/alcatel_one_touch_evo_7_hd/
Alcatel;Alcatel One Touch Fire 7;/catalog/alcatel_one_touch_fire_7/
Alcatel;Alcatel One Touch Hero 8;/catalog/alcatel_one_touch_hero_8/
Alcatel;Alcatel One Touch PIXI 7;/catalog/alcatel_one_touch_pixi_7/
Alcatel;Alcatel One Touch PIXI 8;/catalog/alcatel_one_touch_pixi_8/
Alcatel;Alcatel One Touch POP 7;/catalog/alcatel_one_touch_pop_7/
Alcatel;Alcatel One Touch POP 7S;/catalog/alcatel_one_touch_pop_7s/
Alcatel;Alcatel One Touch POP 8;/catalog/alcatel_one_touch_pop_8/
Alcatel;Alcatel OT-T10;/catalog/alcatel_ot_t10/
Alcatel;Alcatel OT-T20;/catalog/alcatel_ot_t20/
Alcatel;Alcatel PIXI3 10 3G;/catalog/alcatel_pixi3_10_3g/
Alcatel;Alcatel PIXI3 10 Wi-Fi (A3 10 Wi-Fi) 8079;/catalog/alcatel_pixi3_10_wi_fi_a3_10_wi_fi_8079/
Alcatel;Alcatel PIXI3 7 3G;/catalog/alcatel_pixi3_7_3g/
Alcatel;Alcatel PIXI3 7 4G;/catalog/alcatel_pixi3_7_4g/
Alcatel;Alcatel PIXI3 7 Wi-Fi;/catalog/alcatel_pixi3_7_wi_fi/
Alcatel;Alcatel PIXI3 8 3G;/catalog/alcatel_pixi3_8_3g/
Alcatel;Alcatel PIXI3 8 4G;/catalog/alcatel_pixi3_8_4g/
Alcatel;Alcatel PIXI3 8 Wi-Fi;/catalog/alcatel_pixi3_8_wi_fi/
Alcatel;Alcatel PIXI3 8 Windows;/catalog/alcatel_pixi3_8_windows/
Alcatel;Alcatel PIXI4 7;/catalog/alcatel_pixi4_7/
Alcatel;Alcatel Plus 10;/catalog/alcatel_plus_10/
Alcatel;Alcatel Plus 12;/catalog/alcatel_plus_12/
Alcatel;Alcatel POP 10;/catalog/alcatel_pop_10/
Alcatel;Alcatel POP 4 10;/catalog/alcatel_pop_4_10/
Alcatel;Alcatel POP 7 LTE;/catalog/alcatel_pop_7_lte/
Alcatel;Alcatel POP 8S;/catalog/alcatel_pop_8s/
Alcatel;Alcatel Smart Tab 7;/catalog/alcatel_smart_tab_7/
Alcatel;Alcatel TKEE Mini Kids;/catalog/alcatel_tkee_mini_kids/
Alcatel;Alcatel Xess;/catalog/alcatel_xess/
Alcatel;Alcatel Xess;/catalog/alcatel_xess/
Apple;iPad Pro 11.0 (2020);/catalog/ipad_pro_11_0_2020/
Apple;iPad 2(3/4);/catalog/ipad_2_3_4/
Apple;iPad 5 (Air);/catalog/ipad_5_air/
Apple;iPad 6 (Air 2);/catalog/ipad_6_air_2/
Apple;iPad mini 4;/catalog/ipad_mini_4/
Apple;iPad mini 5;/catalog/ipad_mini_5/
Apple;iPad mini2(mini3);/catalog/ipad_mini_2_mini_3/
Apple;iPad New (2017);/catalog/ipad_new_2017/
Apple;iPad Pro (10,5);/catalog/ipad_pro_10_5/
Apple;iPad Pro (11.0);/catalog/ipad_pro_11_0/
Apple;iPad Pro (12,9);/catalog/ipad_pro_12_9/
Apple;iPad Pro (9,7);/catalog/ipad_pro_9_7/
Apple;iPad Pro2;/catalog/ipad_pro2/
Apple;Apple iPad 10.2 (2019);/catalog/apple_ipad_10_2_2019/
Apple;Apple iPad 2 CDMA;/catalog/apple_ipad_2_cdma/
Apple;Apple iPad 2 Wi-Fi;/catalog/apple_ipad_2_wi_fi/
Apple;Apple iPad 2 Wi-Fi + 3G;/catalog/apple_ipad_2_wi_fi_3g/
Apple;Apple iPad 3 Wi-Fi;/catalog/apple_ipad_3_wi_fi/
Apple;Apple iPad 3 Wi-Fi + Cellular;/catalog/apple_ipad_3_wi_fi_cellular/
Apple;Apple iPad 4 Wi-Fi;/catalog/apple_ipad_4_wi_fi/
Apple;Apple iPad 4 Wi-Fi + Cellular;/catalog/apple_ipad_4_wi_fi_cellular/
Apple;Apple iPad 9.7 (2017);/catalog/apple_ipad_9_7_2017/
Apple;Apple iPad 9.7 (2018);/catalog/apple_ipad_9_7_2018/
Apple;Apple iPad Air (2019);/catalog/apple_ipad_air_2019/
Apple;Apple iPad Air 2;/catalog/apple_ipad_air_2/
Apple;Apple iPad Air Wi-Fi (2013);/catalog/apple_ipad_air_wi_fi_2013/
Apple;Apple iPad Air Wi-Fi + Cellular (2013);/catalog/apple_ipad_air_wi_fi_cellular_2013/
Apple;Apple iPad mini (2019);/catalog/apple_ipad_mini_2019/
Apple;Apple iPad mini 2 Wi-Fi;/catalog/apple_ipad_mini_2_wi_fi/
Apple;Apple iPad mini 2 Wi-Fi + Cellular;/catalog/apple_ipad_mini_2_wi_fi_cellular/
Apple;Apple iPad mini 3;/catalog/apple_ipad_mini_3/
Apple;Apple iPad mini 4;/catalog/apple_ipad_mini_4/
Apple;Apple iPad mini Wi-Fi;/catalog/apple_ipad_mini_wi_fi/
Apple;Apple iPad mini Wi-Fi + Cellular;/catalog/apple_ipad_mini_wi_fi_cellular/
Apple;Apple iPad Pro 10.5;/catalog/apple_ipad_pro_10_5/
Apple;Apple iPad Pro 11.0 (2018);/catalog/apple_ipad_pro_11_0_2018/
Apple;Apple iPad Pro 11.0 (2020);/catalog/apple_ipad_pro_11_0_2020/
Apple;Apple iPad Pro 12.9 (2015);/catalog/apple_ipad_pro_12_9_2015/
Apple;Apple iPad Pro 12.9 (2017);/catalog/apple_ipad_pro_12_9_2017/
Apple;Apple iPad Pro 12.9 (2018);/catalog/apple_ipad_pro_12_9_2018/
Apple;Apple iPad Pro 12.9 (2020);/catalog/apple_ipad_pro_12_9_2020/
Apple;Apple iPad Pro 9.7;/catalog/apple_ipad_pro_9_7/
Apple;Apple iPad Wi-Fi;/catalog/apple_ipad_wi_fi/
Apple;Apple iPad Wi-Fi + 3G;/catalog/apple_ipad_wi_fi_3g/
Apple;iPad 10.2 (2019);/catalog/ipad_10_2_2019/
Apple;iPad Pro 12.9 (2020);/catalog/ipad_pro_12_9_2020/
Apple;iPad Pro 12.9 (2020);/catalog/ipad_pro_12_9_2020/
ASUS;Asus Fonepad 7 FE170CG;/catalog/asus_fonepad_7_fe170cg/
ASUS;Asus Fonepad 7 FE375CG;/catalog/asus_fonepad_7_fe375cg/
ASUS;Asus Fonepad 7 ME372CG ;/catalog/asus_fonepad_7_me372cg_/
ASUS;Asus Fonepad 8 FE380CG;/catalog/asus_fonepad_8_fe380cg/
ASUS;Asus Google Nexus 7;/catalog/asus_google_nexus_7/
ASUS;Asus Google Nexus 7(2013);/catalog/asus_google_nexus_7_2013/
ASUS;Asus Google Nexus 9;/catalog/asus_google_nexus_9/
ASUS;Asus Memopad 10 ME302KL;/catalog/asus_memopad_10_me302kl/
ASUS;Asus Memopad 7 ME102;/catalog/asus_memopad_7_me102/
ASUS;Asus Memopad 7 ME172V;/catalog/asus_memopad_7_me172v/
ASUS;Asus Memopad 7 ME173X;/catalog/asus_memopad_7_me173x/
ASUS;Asus Memopad 7 ME175;/catalog/asus_memopad_7_me175/
ASUS;Asus Memopad 7 ME176CX;/catalog/asus_memopad_7_me176cx/
ASUS;Asus Memopad 7 ME371MG;/catalog/asus_memopad_7_me371mg/
ASUS;Asus Memopad 7 ME572CL;/catalog/asus_memopad_7_me572cl/
ASUS;Asus Memopad 8 ME180A;/catalog/asus_memopad_8_me180a/
ASUS;Asus Memopad 8 ME181C;/catalog/asus_memopad_8_me181c/
ASUS;Asus Memopad 8 ME581CL;/catalog/asus_memopad_8_me581cl/
ASUS;Asus PadFone Infinity A80;/catalog/asus_padfone_infinity_a80/
ASUS;Asus PadFone PF500;/catalog/asus_padfone_pf500/
ASUS;Asus Transformer Pad 10 TF201;/catalog/asus_transformer_pad_10_tf201/
ASUS;Asus Vivotab 10 ME400C;/catalog/asus_vivotab_10_me400c/
ASUS;Asus Vivotab 11.6 TF810С;/catalog/asus_vivotab_11_6_tf810s/
ASUS;ASUS ZenPad (Z170C/Z170CG);/catalog/asus_zenpad_z170c_z170cg/
ASUS;ASUS ZenPad 3S Z500M ;/catalog/asus_zenpad_3s_z500m_/
ASUS;ASUS ZenPad 3S Z581KL;/catalog/asus_zenpad_3s_z581kl/
ASUS;ASUS ZenPad Z170;/catalog/asus_zenpad_z170/
ASUS;ASUS ZenPad Z300C/Z300CG;/catalog/asus_zenpad_z300c_z300cg/
ASUS;ASUS ZenPad Z370C;/catalog/asus_zenpad_z370c/
ASUS;ASUS ZenPad Z380;/catalog/asus_zenpad_z380/
ASUS;ASUS ZenPad Z380C;/catalog/asus_zenpad_z380c/
ASUS;ASUS ZenPad Z580;/catalog/asus_zenpad_z580/
ASUS;ASUS ZenPad Z580C;/catalog/asus_zenpad_z580c/
ASUS;ASUS Chromebook Tablet CT100PA;/catalog/asus_chromebook_tablet_ct100pa/
ASUS;Asus Eee Pad Slate B121 (EP121);/catalog/asus_eee_pad_slate_b121_ep121/
ASUS;Asus Eee Pad Slider SL101;/catalog/asus_eee_pad_slider_sl101/
ASUS;Asus Eee Pad Transformer Prime TF201;/catalog/asus_eee_pad_transformer_prime_tf201/
ASUS;Asus Eee Pad Transformer TF101 Wi-Fi;/catalog/asus_eee_pad_transformer_tf101_wi_fi/
ASUS;Asus Eee Pad Transformer TF101G Wi-Fi+3G;/catalog/asus_eee_pad_transformer_tf101g_wi_fi_3g/
ASUS;Asus FonePad 7 (ME175, ME372);/catalog/asus_fonepad_7_me175_me372/
ASUS;Asus Fonepad 7 FE171CG;/catalog/asus_fonepad_7_fe171cg/
ASUS;Asus Fonepad 7 FE375CL;/catalog/asus_fonepad_7_fe375cl/
ASUS;Asus Fonepad 7 ME371MG;/catalog/asus_fonepad_7_me371mg/
ASUS;Asus FonePad 8 FE380CXG;/catalog/asus_fonepad_8_fe380cxg/
ASUS;Asus Google Nexus 7 2013 Mobile;/catalog/asus_google_nexus_7_2013_mobile/
ASUS;Asus Google Nexus 7 2013 Wi-Fi;/catalog/asus_google_nexus_7_2013_wi_fi/
ASUS;Asus Google Nexus 7 Mobile;/catalog/asus_google_nexus_7_mobile/
ASUS;Asus MeMO Pad 10 ME102A;/catalog/asus_memo_pad_10_me102a/
ASUS;Asus MeMO Pad 10 ME103K;/catalog/asus_memo_pad_10_me103k/
ASUS;Asus MeMO Pad 7 (ME176C, ME176CX);/catalog/asus_memo_pad_7_me176c_me176cx/
ASUS;Asus MeMO Pad 7 LTE ME375CL;/catalog/asus_memo_pad_7_lte_me375cl/
ASUS;Asus MeMO Pad 7 ME170C;/catalog/asus_memo_pad_7_me170c/
ASUS;Asus MeMo Pad 7 ME572C;/catalog/asus_memo_pad_7_me572c/
ASUS;Asus MeMo Pad 7 ME572CL;/catalog/asus_memo_pad_7_me572cl/
ASUS;Asus MeMO Pad 7 ME70C;/catalog/asus_memo_pad_7_me70c/
