Brand;Model;Img Directory
Acer;Acer Liquid Zest Z525;Acer\Acer Liquid Zest Z525\Acer Liquid Zest Z525.jpg
Acer;Acer Jade Primo;Acer\Acer Jade Primo\Acer Jade Primo.jpg
Acer;Acer Liquid Jade Z;Acer\Acer Liquid Jade Z\Acer Liquid Jade Z.jpg
Acer;Acer Liquid M220;Acer\Acer Liquid M220\Acer Liquid M220.jpg
Acer;Acer Liquid M320;Acer\Acer Liquid M320\Acer Liquid M320.jpg
Acer;Acer Liquid M330;Acer\Acer Liquid M330\Acer Liquid M330.jpg
Acer;Acer Liquid X2;Acer\Acer Liquid X2\Acer Liquid X2.jpg
Acer;Acer Liquid Z220;Acer\Acer Liquid Z220\Acer Liquid Z220.jpg
Acer;Acer Liquid Z320;Acer\Acer Liquid Z320\Acer Liquid Z320.jpg
Acer;Acer Liquid Z330;Acer\Acer Liquid Z330\Acer Liquid Z330.jpg
Acer;Acer Liquid Z410;Acer\Acer Liquid Z410\Acer Liquid Z410.jpg
Acer;Acer Liquid Z520;Acer\Acer Liquid Z520\Acer Liquid Z520.jpg
Acer;Acer Liquid Z530;Acer\Acer Liquid Z530\Acer Liquid Z530.jpg
Acer;Acer Liquid Z530S;Acer\Acer Liquid Z530S\Acer Liquid Z530S.jpg
Acer;Acer Liquid Z630;Acer\Acer Liquid Z630\Acer Liquid Z630.jpg
Acer;Acer Liquid Z630S;Acer\Acer Liquid Z630S\Acer Liquid Z630S.jpg
Acer;Acer Predator 6;None
Acer;Acer Liquid E3 (E380);Acer\Acer Liquid E3 (E380)\Acer Liquid E3 (E380).jpg
Acer;Acer Liquid E600;Acer\Acer Liquid E600\Acer Liquid E600.jpg
Acer;Acer Liquid E700;Acer\Acer Liquid E700\Acer Liquid E700.jpg
Acer;Acer Liquid Jade (S55);Acer\Acer Liquid Jade (S55)\Acer Liquid Jade (S55).jpg
Acer;Acer Liquid Jade S (S56);Acer\Acer Liquid Jade S (S56)\Acer Liquid Jade S (S56).jpg
Acer;Acer Liquid X1;Acer\Acer Liquid X1\Acer Liquid X1.jpg
Acer;Acer Liquid Z200;Acer\Acer Liquid Z200\Acer Liquid Z200.jpg
Acer;Acer Liquid Z4 (Z160);Acer\Acer Liquid Z4 (Z160)\Acer Liquid Z4 (Z160).jpg
Acer;Acer Liquid Z5 (Z150);Acer\Acer Liquid Z5 (Z150)\Acer Liquid Z5 (Z150).jpg
Acer;Acer Liquid Z500;Acer\Acer Liquid Z500\Acer Liquid Z500.jpg
Acer;Acer Liquid C1;Acer\Acer Liquid C1\Acer Liquid C1.jpg
Acer;Acer Liquid E1 (односимочный);Acer\Acer Liquid E1 (односимочный)\Acer Liquid E1 (односимочный).jpg
Acer;Acer Liquid E1 Duo (V360);Acer\Acer Liquid E1 Duo (V360)\Acer Liquid E1 Duo (V360).jpg
Acer;Acer Liquid E2 (односимочный);Acer\Acer Liquid E2 (односимочный)\Acer Liquid E2 (односимочный).jpg
Acer;Acer Liquid E2 Duo (V370);Acer\Acer Liquid E2 Duo (V370)\Acer Liquid E2 Duo (V370).jpg
Acer;Acer Liquid S1 Duo (S510);Acer\Acer Liquid S1 Duo (S510)\Acer Liquid S1 Duo (S510).jpg
Acer;Acer Liquid S2 (S520);Acer\Acer Liquid S2 (S520)\Acer Liquid S2 (S520).jpg
Acer;Acer Liquid Z2 (Z120);Acer\Acer Liquid Z2 (Z120)\Acer Liquid Z2 (Z120).jpg
Acer;Acer Liquid Z3 (Z130);Acer\Acer Liquid Z3 (Z130)\Acer Liquid Z3 (Z130).jpg
Acer;Acer CloudMobile S500;Acer\Acer CloudMobile S500\Acer CloudMobile S500.jpg
Acer;Acer Liquid Gallant;Acer\Acer Liquid Gallant\Acer Liquid Gallant.jpg
Acer;Acer Liquid Gallant Duo (E350);Acer\Acer Liquid Gallant Duo (E350)\Acer Liquid Gallant Duo (E350).jpg
Acer;Acer Liquid Glow;Acer\Acer Liquid Glow\Acer Liquid Glow.jpg
Acer;Acer Liquid Z110 Duo;Acer\Acer Liquid Z110 Duo\Acer Liquid Z110 Duo.jpg
Acer;Acer Allegro;Acer\Acer Allegro\Acer Allegro.jpg
Acer;Acer Iconia Smart;Acer\Acer Iconia Smart\Acer Iconia Smart.jpg
Acer;Acer Liquid Express E320;Acer\Acer Liquid Express E320\Acer Liquid Express E320.jpg
Acer;Acer Liquid mini E310;Acer\Acer Liquid mini E310\Acer Liquid mini E310.jpg
Acer;Acer beTouch E210;None
Acer;Acer Liquid e;None
Acer;Acer Liquid mt Metal;None
Acer;Acer Stream;None
Acer;Acer beTouch E110;None
Acer;Acer beTouch E120;None
Acer;Acer beTouch E130;None
Acer;Acer beTouch E140;None
Acer;Acer beTouch E400;None
Acer;Acer beTouch T500;None
Acer;Acer neoTouch P300;None
Acer;Acer neoTouch P400;None
Acer;Acer DX650;None
Acer;Acer DX900;None
Acer;Acer F900;None
Acer;Acer Liquid;None
Acer;Acer M900;None
Acer;Acer X960;None
Acer;Acer beTouch E100;None
Acer;Acer beTouch E101;None
Acer;Acer beTouch E200;None
Acer;Acer neoTouch S200;None
Acer;Acer C100;None
Acer;Acer C200;None
Acer;Acer M330;None
Acer;Acer D77;None
Acer;Acer V705;None
Acer;Acer V750;None
Acer;Acer V755;None
Acer;Acer G520;None
Acer;Acer G530;None
Acer;Acer G620;None
Acer;Acer G630;None
Acer;Acer G70;None
Aelion;Aelion A600;Aelion\Aelion A600\Aelion A600.jpg
Aermoo;Aermoo M2;Aermoo\Aermoo M2\Aermoo M2.jpg
Aermoo;Aermoo M1;Aermoo\Aermoo M1\Aermoo M1.jpg
Aermoo;Aermoo R1;Aermoo\Aermoo R1\Aermoo R1.jpg
AG mobile;AG mobile AG #HASHTAG;AG mobile\AG mobile AG #HASHTAG\AG mobile AG #HASHTAG.jpg
AG mobile;AG mobile AG Freedom Access;AG mobile\AG mobile AG Freedom Access\AG mobile AG Freedom Access.jpg
AG mobile;AG mobile AG SHINE;AG mobile\AG mobile AG SHINE\AG mobile AG SHINE.jpg
AG mobile;AG mobile AG Chacer;AG mobile\AG mobile AG Chacer\AG mobile AG Chacer.jpg
AG mobile;AG mobile AG Zoom;AG mobile\AG mobile AG Zoom\AG mobile AG Zoom.jpg
AGM;AGM A10;AGM\AGM A10\AGM A10.jpg
AGM;AGM H2;AGM\AGM H2\AGM H2.jpg
AGM;AGM M2G;AGM\AGM M2G\AGM M2G.jpg
AGM;AGM M3;AGM\AGM M3\AGM M3.jpg
AGM;AGM M5;AGM\AGM M5\AGM M5.jpg
AGM;AGM X3 Turbo;AGM\AGM X3 Turbo\AGM X3 Turbo.jpg
AGM;AGM A9;AGM\AGM A9\AGM A9.jpg
AGM;AGM H1;AGM\AGM H1\AGM H1.jpg
AGM;AGM X2 SE;AGM\AGM X2 SE\AGM X2 SE.jpg
AGM;AGM X3;AGM\AGM X3\AGM X3.jpg
AGM;AGM X3 Geek Edition;AGM\AGM X3 Geek Edition\AGM X3 Geek Edition.jpg
AGM;AGM A1Q;AGM\AGM A1Q\AGM A1Q.jpg
AGM;AGM A7;AGM\AGM A7\AGM A7.jpg
AGM;AGM A8;AGM\AGM A8\AGM A8.jpg
AGM;AGM A8 Mini;AGM\AGM A8 Mini\AGM A8 Mini.jpg
AGM;AGM A8 SE;AGM\AGM A8 SE\AGM A8 SE.jpg
AGM;AGM M1;AGM\AGM M1\AGM M1.jpg
AGM;AGM M2;AGM\AGM M2\AGM M2.jpg
AGM;AGM X1 Mini;AGM\AGM X1 Mini\AGM X1 Mini.jpg
AGM;AGM X2;AGM\AGM X2\AGM X2.jpg
AGM;AGM (Land Rover) X1;AGM\AGM (Land Rover) X1\AGM (Land Rover) X1.jpg
AGM;AGM A2 Rio;AGM\AGM A2 Rio\AGM A2 Rio.jpg
Akai;Akai MPH-345D;Akai\Akai MPH-345D\Akai MPH-345D.jpg
Alcatel;Alcatel 1A (2020);Alcatel\Alcatel 1A (2020)\Alcatel 1A (2020).jpg
Alcatel;Alcatel 1B (2020);Alcatel\Alcatel 1B (2020)\Alcatel 1B (2020).jpg
Alcatel;Alcatel 1S (2020);Alcatel\Alcatel 1S (2020)\Alcatel 1S (2020).jpg
Alcatel;Alcatel 1SE (2020);Alcatel\Alcatel 1SE (2020)\Alcatel 1SE (2020).jpg
Alcatel;Alcatel 1V (2020);Alcatel\Alcatel 1V (2020)\Alcatel 1V (2020).jpg
Alcatel;Alcatel 3078;Alcatel\Alcatel 3078\Alcatel 3078.jpg
Alcatel;Alcatel 3L (2020);Alcatel\Alcatel 3L (2020)\Alcatel 3L (2020).jpg
Alcatel;Alcatel APPRISE;Alcatel\Alcatel APPRISE\Alcatel APPRISE.jpg
Alcatel;Alcatel 1 (2019);Alcatel\Alcatel 1 (2019)\Alcatel 1 (2019).jpg
Alcatel;Alcatel 1C (2019) 5003D;Alcatel\Alcatel 1C (2019) 5003D\Alcatel 1C (2019) 5003D.jpg
Alcatel;Alcatel 1S 5024D;Alcatel\Alcatel 1S 5024D\Alcatel 1S 5024D.jpg
Alcatel;Alcatel 1V 5001D;Alcatel\Alcatel 1V 5001D\Alcatel 1V 5001D.jpg
Alcatel;Alcatel 1X (2019) 5008Y;Alcatel\Alcatel 1X (2019) 5008Y\Alcatel 1X (2019) 5008Y.jpg
Alcatel;Alcatel 2019G;Alcatel\Alcatel 2019G\Alcatel 2019G.jpg
Alcatel;Alcatel 3 (2019) 5053[KY];Alcatel\Alcatel 3 (2019) 5053[KY]\Alcatel 3 (2019) 5053[KY].jpg
Alcatel;Alcatel 3C 2019;Alcatel\Alcatel 3C 2019\Alcatel 3C 2019.jpg
Alcatel;Alcatel 3L (2019) 5039D;Alcatel\Alcatel 3L (2019) 5039D\Alcatel 3L (2019) 5039D.jpg
Alcatel;Alcatel 3V 2019;Alcatel\Alcatel 3V 2019\Alcatel 3V 2019.jpg
Alcatel;Alcatel 3X (2019);Alcatel\Alcatel 3X (2019)\Alcatel 3X (2019).jpg
Alcatel;Alcatel 7 2019;Alcatel\Alcatel 7 2019\Alcatel 7 2019.jpg
Alcatel;Alcatel Avalon V;Alcatel\Alcatel Avalon V\Alcatel Avalon V.jpg
Alcatel;Alcatel Go Flip 3;Alcatel\Alcatel Go Flip 3\Alcatel Go Flip 3.jpg
Alcatel;Alcatel Go Flip V;Alcatel\Alcatel Go Flip V\Alcatel Go Flip V.jpg
Alcatel;Alcatel Insight;Alcatel\Alcatel Insight\Alcatel Insight.jpg
Alcatel;Alcatel Onyx;Alcatel\Alcatel Onyx\Alcatel Onyx.jpg
Alcatel;Alcatel SmartFlip;Alcatel\Alcatel SmartFlip\Alcatel SmartFlip.jpg
Alcatel;Alcatel (TCL) LX;Alcatel\Alcatel (TCL) LX\Alcatel (TCL) LX.jpg
Alcatel;Alcatel 1 5033D;Alcatel\Alcatel 1 5033D\Alcatel 1 5033D.jpg
Alcatel;Alcatel 1066D;Alcatel\Alcatel 1066D\Alcatel 1066D.jpg
Alcatel;Alcatel 1C 5009[DA];Alcatel\Alcatel 1C 5009[DA]\Alcatel 1C 5009[DA].jpg
Alcatel;Alcatel 1E (U3 2018);Alcatel\Alcatel 1E (U3 2018)\Alcatel 1E (U3 2018).jpg
Alcatel;Alcatel 1X 5059D;Alcatel\Alcatel 1X 5059D\Alcatel 1X 5059D.jpg
Alcatel;Alcatel 1X Evolve;Alcatel\Alcatel 1X Evolve\Alcatel 1X Evolve.jpg
Alcatel;Alcatel 1X США;Alcatel\Alcatel 1X США\Alcatel 1X США.jpg
Alcatel;Alcatel 2003D;Alcatel\Alcatel 2003D\Alcatel 2003D.jpg
Alcatel;Alcatel 2053D;Alcatel\Alcatel 2053D\Alcatel 2053D.jpg
Alcatel;Alcatel 3 5052[DY];Alcatel\Alcatel 3 5052[DY]\Alcatel 3 5052[DY].jpg
Alcatel;Alcatel 3025X;Alcatel\Alcatel 3025X\Alcatel 3025X.jpg
Alcatel;Alcatel 3C 5026D;Alcatel\Alcatel 3C 5026D\Alcatel 3C 5026D.jpg
Alcatel;Alcatel 3L 5034D;Alcatel\Alcatel 3L 5034D\Alcatel 3L 5034D.jpg
Alcatel;Alcatel 3V 5099D;Alcatel\Alcatel 3V 5099D\Alcatel 3V 5099D.jpg
Alcatel;Alcatel 3X 5058[IY];Alcatel\Alcatel 3X 5058[IY]\Alcatel 3X 5058[IY].jpg
Alcatel;Alcatel 5 5086[DY];Alcatel\Alcatel 5 5086[DY]\Alcatel 5 5086[DY].jpg
Alcatel;Alcatel 5V 5060D;Alcatel\Alcatel 5V 5060D\Alcatel 5V 5060D.jpg
Alcatel;Alcatel 7 6062W;Alcatel\Alcatel 7 6062W\Alcatel 7 6062W.jpg
Alcatel;Alcatel A3 Plus 5011A;Alcatel\Alcatel A3 Plus 5011A\Alcatel A3 Plus 5011A.jpg
Alcatel;Alcatel IdealXTRA;Alcatel\Alcatel IdealXTRA\Alcatel IdealXTRA.jpg
Alcatel;Alcatel Tetra;Alcatel\Alcatel Tetra\Alcatel Tetra.jpg
Alcatel;Alcatel Verso;Alcatel\Alcatel Verso\Alcatel Verso.jpg
Alcatel;Alcatel A3 5046[DY];Alcatel\Alcatel A3 5046[DY]\Alcatel A3 5046[DY].jpg
Alcatel;Alcatel A3 XL 9008D;Alcatel\Alcatel A3 XL 9008D\Alcatel A3 XL 9008D.jpg
Alcatel;Alcatel A30;Alcatel\Alcatel A30\Alcatel A30.jpg
Alcatel;Alcatel A30 Fierce;Alcatel\Alcatel A30 Fierce\Alcatel A30 Fierce.jpg
Alcatel;Alcatel A30 PLUS;Alcatel\Alcatel A30 PLUS\Alcatel A30 PLUS.jpg
Alcatel;Alcatel A5 5085Q;Alcatel\Alcatel A5 5085Q\Alcatel A5 5085Q.jpg
Alcatel;Alcatel A5 LED 5085[DY];Alcatel\Alcatel A5 LED 5085[DY]\Alcatel A5 LED 5085[DY].jpg
Alcatel;Alcatel A50;Alcatel\Alcatel A50\Alcatel A50.jpg
Alcatel;Alcatel A7 5090Y;Alcatel\Alcatel A7 5090Y\Alcatel A7 5090Y.jpg
Alcatel;Alcatel A7 XL;Alcatel\Alcatel A7 XL\Alcatel A7 XL.jpg
Alcatel;Alcatel AT&T Cingular Flip 2;Alcatel\Alcatel AT&T Cingular Flip 2\Alcatel AT&T Cingular Flip 2.jpg
Alcatel;Alcatel CameoX;Alcatel\Alcatel CameoX\Alcatel CameoX.jpg
Alcatel;Alcatel Flash;Alcatel\Alcatel Flash\Alcatel Flash.jpg
Alcatel;Alcatel Go Flip;Alcatel\Alcatel Go Flip\Alcatel Go Flip.jpg
Alcatel;Alcatel Idol 5 6058D;Alcatel\Alcatel Idol 5 6058D\Alcatel Idol 5 6058D.jpg
Alcatel;Alcatel Idol 5 США;Alcatel\Alcatel Idol 5 США\Alcatel Idol 5 США.jpg
Alcatel;Alcatel Idol 5S 6060X;Alcatel\Alcatel Idol 5S 6060X\Alcatel Idol 5S 6060X.jpg
Alcatel;Alcatel Idol 5S США;Alcatel\Alcatel Idol 5S США\Alcatel Idol 5S США.jpg
Alcatel;Alcatel POP 4 6 7070X;Alcatel\Alcatel POP 4 6 7070X\Alcatel POP 4 6 7070X.jpg
Alcatel;Alcatel PULSEMIX;Alcatel\Alcatel PULSEMIX\Alcatel PULSEMIX.jpg
Alcatel;Alcatel QuickFlip;Alcatel\Alcatel QuickFlip\Alcatel QuickFlip.jpg
Alcatel;Alcatel U3 3G 4049D;Alcatel\Alcatel U3 3G 4049D\Alcatel U3 3G 4049D.jpg
Alcatel;Alcatel U5 3G 4047[DX];Alcatel\Alcatel U5 3G 4047[DX]\Alcatel U5 3G 4047[DX].jpg
Alcatel;Alcatel U5 4G 5044[DY];Alcatel\Alcatel U5 4G 5044[DY]\Alcatel U5 4G 5044[DY].jpg
Alcatel;Alcatel U5 HD 5047D;Alcatel\Alcatel U5 HD 5047D\Alcatel U5 HD 5047D.jpg
Alcatel;Alcatel U50;Alcatel\Alcatel U50\Alcatel U50.jpg
Alcatel;Alcatel idealXCITE;Alcatel\Alcatel idealXCITE\Alcatel idealXCITE.jpg
Alcatel;Alcatel 2008 Tiger;Alcatel\Alcatel 2008 Tiger\Alcatel 2008 Tiger.jpg
Alcatel;Alcatel A2 XL (8050D);Alcatel\Alcatel A2 XL (8050D)\Alcatel A2 XL (8050D).jpg
Alcatel;Alcatel Dawn;Alcatel\Alcatel Dawn\Alcatel Dawn.jpg
Alcatel;Alcatel Fierce 4;Alcatel\Alcatel Fierce 4\Alcatel Fierce 4.jpg
Alcatel;Alcatel Fierce XL (Windows 10);Alcatel\Alcatel Fierce XL (Windows 10)\Alcatel Fierce XL (Windows 10).jpg
Alcatel;Alcatel Flash Plus 2;Alcatel\Alcatel Flash Plus 2\Alcatel Flash Plus 2.jpg
Alcatel;Alcatel Ideal;Alcatel\Alcatel Ideal\Alcatel Ideal.jpg
Alcatel;Alcatel Idol 4 6055K;Alcatel\Alcatel Idol 4 6055K\Alcatel Idol 4 6055K.jpg
Alcatel;Alcatel Idol 4 Pro (Idol 4S Windows);Alcatel\Alcatel Idol 4 Pro (Idol 4S Windows)\Alcatel Idol 4 Pro (Idol 4S Windows).jpg
Alcatel;Alcatel Idol 4S 6070K;Alcatel\Alcatel Idol 4S 6070K\Alcatel Idol 4S 6070K.jpg
Alcatel;Alcatel Lume;Alcatel\Alcatel Lume\Alcatel Lume.jpg
Alcatel;Alcatel OT-1020;Alcatel\Alcatel OT-1020\Alcatel OT-1020.jpg
Alcatel;Alcatel OT-1054D;Alcatel\Alcatel OT-1054D\Alcatel OT-1054D.jpg
Alcatel;Alcatel OT-2036;Alcatel\Alcatel OT-2036\Alcatel OT-2036.jpg
Alcatel;Alcatel OT-2051;Alcatel\Alcatel OT-2051\Alcatel OT-2051.jpg
Alcatel;Alcatel OneTouch Allura;Alcatel\Alcatel OneTouch Allura\Alcatel OneTouch Allura.jpg
Alcatel;Alcatel OneTouch Flint;Alcatel\Alcatel OneTouch Flint\Alcatel OneTouch Flint.jpg
Alcatel;Alcatel PIXI Theatre;Alcatel\Alcatel PIXI Theatre\Alcatel PIXI Theatre.jpg
Alcatel;Alcatel PIXI4 3.5;Alcatel\Alcatel PIXI4 3.5\Alcatel PIXI4 3.5.jpg
Alcatel;Alcatel PIXI4 4 4034D;Alcatel\Alcatel PIXI4 4 4034D\Alcatel PIXI4 4 4034D.jpg
Alcatel;Alcatel PIXI4 5 3G 5010[DX];Alcatel\Alcatel PIXI4 5 3G 5010[DX]\Alcatel PIXI4 5 3G 5010[DX].jpg
Alcatel;Alcatel PIXI4 5 4G 5045[DX];Alcatel\Alcatel PIXI4 5 4G 5045[DX]\Alcatel PIXI4 5 4G 5045[DX].jpg
Alcatel;Alcatel PIXI4 6 3G 8050[DX];Alcatel\Alcatel PIXI4 6 3G 8050[DX]\Alcatel PIXI4 6 3G 8050[DX].jpg
Alcatel;Alcatel PIXI4 6 4G 9001D;Alcatel\Alcatel PIXI4 6 4G 9001D\Alcatel PIXI4 6 4G 9001D.jpg
Alcatel;Alcatel POP 4;Alcatel\Alcatel POP 4\Alcatel POP 4.jpg
Alcatel;Alcatel POP 4+;Alcatel\Alcatel POP 4+\Alcatel POP 4+.jpg
Alcatel;Alcatel POP 4S;Alcatel\Alcatel POP 4S\Alcatel POP 4S.jpg
Alcatel;Alcatel Pixi 4 Plus Power 5023F;Alcatel\Alcatel Pixi 4 Plus Power 5023F\Alcatel Pixi 4 Plus Power 5023F.jpg
Alcatel;Alcatel Pixi Unite;Alcatel\Alcatel Pixi Unite\Alcatel Pixi Unite.jpg
Alcatel;Alcatel Shine Lite 5080X;Alcatel\Alcatel Shine Lite 5080X\Alcatel Shine Lite 5080X.jpg
Alcatel;Alcatel Streak;Alcatel\Alcatel Streak\Alcatel Streak.jpg
Alcatel;Alcatel Tru;Alcatel\Alcatel Tru\Alcatel Tru.jpg
Alcatel;Alcatel X1;Alcatel\Alcatel X1\Alcatel X1.jpg
Alcatel;Alcatel Fierce XL;Alcatel\Alcatel Fierce XL\Alcatel Fierce XL.jpg
Alcatel;Alcatel Flash 2;Alcatel\Alcatel Flash 2\Alcatel Flash 2.jpg
Alcatel;Alcatel Go Play;Alcatel\Alcatel Go Play\Alcatel Go Play.jpg
Alcatel;Alcatel Hero 2+;Alcatel\Alcatel Hero 2+\Alcatel Hero 2+.jpg
Alcatel;Alcatel Hero 2C;Alcatel\Alcatel Hero 2C\Alcatel Hero 2C.jpg
Alcatel;Alcatel Idol 3 4.7;Alcatel\Alcatel Idol 3 4.7\Alcatel Idol 3 4.7.jpg
Alcatel;Alcatel Idol 3 5.5;Alcatel\Alcatel Idol 3 5.5\Alcatel Idol 3 5.5.jpg
Alcatel;Alcatel Idol 3C;Alcatel\Alcatel Idol 3C\Alcatel Idol 3C.jpg
Alcatel;Alcatel OT-1013;Alcatel\Alcatel OT-1013\Alcatel OT-1013.jpg
Alcatel;Alcatel OT-1016;Alcatel\Alcatel OT-1016\Alcatel OT-1016.jpg
Alcatel;Alcatel OT-1052;Alcatel\Alcatel OT-1052\Alcatel OT-1052.jpg
Alcatel;Alcatel OT-2035;Alcatel\Alcatel OT-2035\Alcatel OT-2035.jpg
Alcatel;Alcatel OT-2045;Alcatel\Alcatel OT-2045\Alcatel OT-2045.jpg
Alcatel;Alcatel One Touch Conquest;Alcatel\Alcatel One Touch Conquest\Alcatel One Touch Conquest.jpg
Alcatel;Alcatel One Touch Elevate;Alcatel\Alcatel One Touch Elevate\Alcatel One Touch Elevate.jpg
Alcatel;Alcatel One Touch Flash Plus;Alcatel\Alcatel One Touch Flash Plus\Alcatel One Touch Flash Plus.jpg
Alcatel;Alcatel Orange Klif;Alcatel\Alcatel Orange Klif\Alcatel Orange Klif.jpg
Alcatel;Alcatel PIXI First;Alcatel\Alcatel PIXI First\Alcatel PIXI First.jpg
Alcatel;Alcatel PIXI3 3.5;Alcatel\Alcatel PIXI3 3.5\Alcatel PIXI3 3.5.jpg
Alcatel;Alcatel PIXI3 4;Alcatel\Alcatel PIXI3 4\Alcatel PIXI3 4.jpg
Alcatel;Alcatel PIXI3 4.5 3G;Alcatel\Alcatel PIXI3 4.5 3G\Alcatel PIXI3 4.5 3G.jpg
Alcatel;Alcatel PIXI3 4.5 4G;Alcatel\Alcatel PIXI3 4.5 4G\Alcatel PIXI3 4.5 4G.jpg
Alcatel;Alcatel PIXI3 5.5 3G;None
Alcatel;Alcatel PIXI3 5.5 4G;None
Alcatel;Alcatel POP Astro;Alcatel\Alcatel POP Astro\Alcatel POP Astro.jpg
Alcatel;Alcatel POP Star 3G 5022D;Alcatel\Alcatel POP Star 3G 5022D\Alcatel POP Star 3G 5022D.jpg
Alcatel;Alcatel POP Star 4G 5070D;Alcatel\Alcatel POP Star 4G 5070D\Alcatel POP Star 4G 5070D.jpg
Alcatel;Alcatel POP Up;Alcatel\Alcatel POP Up\Alcatel POP Up.jpg
Alcatel;Alcatel POP2 4;Alcatel\Alcatel POP2 4\Alcatel POP2 4.jpg
Alcatel;Alcatel POP2 4 Windows;Alcatel\Alcatel POP2 4 Windows\Alcatel POP2 4 Windows.jpg
Alcatel;Alcatel POP2 5;Alcatel\Alcatel POP2 5\Alcatel POP2 5.jpg
Alcatel;Alcatel POP2 5 Premium;Alcatel\Alcatel POP2 5 Premium\Alcatel POP2 5 Premium.jpg
Alcatel;Alcatel POP3 5 3G;Alcatel\Alcatel POP3 5 3G\Alcatel POP3 5 3G.jpg
Alcatel;Alcatel POP3 5 4G;Alcatel\Alcatel POP3 5 4G\Alcatel POP3 5 4G.jpg
Alcatel;Alcatel POP3 5.5 3G;Alcatel\Alcatel POP3 5.5 3G\Alcatel POP3 5.5 3G.jpg
Alcatel;Alcatel POP3 5.5 4G;Alcatel\Alcatel POP3 5.5 4G\Alcatel POP3 5.5 4G.jpg
